Design Name,Avg Cost / Sticker,Single Price,Profit / Sticker,Margin %,Bundle Qty,Bundle Price,Profit / Bundle,Bundle Margin %
Aba Mina,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Abouna Bishoy Kamel,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Anba Wannas,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Archangel Gabriel,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Archangel Michael,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Ava Antonios,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Ava Arsenious,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Ava Ignatius,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Chrsit Passion Week,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
David the Prophet,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Abouna Mina Aboud,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Joseph the Prophet,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Martyrs of Libya,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Mother of Jesus Christ,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Pantokrator (set w/ Mother...),$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Pope Kirillos,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Pope Shenoud - Liturgy,$0.34,$0.70,$0.36,51.5%,1,$0.70,$0.36,51.5%
Pope Shenouda - Laughing,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Resurrection,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Saint Karas,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Saint Samuel the Confessor,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
St Moses,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
St Paesa,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
St Rewis,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
St Demiana,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
St George,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
St John the Baptist,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
St Joseph the Carpenter,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
St Marina the Martyr and Nun,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
St Mark ,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
St Mary of Egypt,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
St Pachom and St Tadros,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
St Stephen,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
The Cruxifiction,$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
Ti Theotokos (Baby Jesus),$0.16,$0.70,$0.54,77.4%,1,$0.70,$0.54,77.4%
RP - Resurrection w/ Guards (RP),,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
RP - Empty Tomb,$0.21,$0.70,$0.49,70.5%,1,$0.70,$0.49,70.5%
RP - Mary Magadalene ,$0.21,$0.70,$0.49,70.5%,1,$0.70,$0.49,70.5%
RP - Myrrhnbearers,$0.21,$0.70,$0.49,70.5%,1,$0.70,$0.49,70.5%
RP - Doubting Thomas,$0.21,$0.70,$0.49,70.5%,1,$0.70,$0.49,70.5%
RP - Emuas Disciples,$0.21,$0.70,$0.49,70.5%,1,$0.70,$0.49,70.5%
RP - Apperance in the Upper Room,$0.21,$0.70,$0.49,70.5%,1,$0.70,$0.49,70.5%
RP - Breakfast at Sea,$0.21,$0.70,$0.49,70.5%,1,$0.70,$0.49,70.5%
RP - Ascension,$0.21,$0.70,$0.49,70.5%,1,$0.70,$0.49,70.5%
RP. - Pentecost ,$0.21,$0.70,$0.49,70.5%,1,$0.70,$0.49,70.5%
,,,,,,,,
HWP - Raising of Lazarus,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Jesus Entry into Jerusalem,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Jesus drives out the Merchants,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Cursing the Fig Tree,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Jesus Teaching in the Temple,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - The Wise and the Foolish Virgins,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Anointing at Jesus' Feet,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Judas Receiving Silver,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Washing of the Feet,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - The Last Supper,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Jesus Prayer in Gethsemenie,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Judas' Betrayal,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - High Priest Judgement,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Rooster Craw,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Jesus' Scourging,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Pilate washing his hands,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Laughed at by Romans,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Face imprint on the handkerchief,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Crucifixion (HWP),,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Descent from the Cross,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Tomb Burial,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Christ in Hades,,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%
HWP - Resurrection (HWP),,$0.70,$0.70,100.0%,1,$0.70,$0.70,100.0%